frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,305:274
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,273:242
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,241:210
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,209:178
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,177:146
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,145:114
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,113:82
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,81:50
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,49:18
frame9,9,18,1111_1111_1111_1111_1100_0000_0000_0000,17:0
frame10,10,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame11,11,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
